Cerebellum_7b_R;33.928838951310865,-64.40823970037454,-49.760299625468164
Cerebellum_8_L;-25.029146793852675,-55.77106518282989,-49.05458399576047
Cerebellum_8_R;25.77296360485269,-57.63084922010398,-50.79809358752166
Cerebellum_9_L;-10.324449594438008,-50.162224797219,-47.251448435689454
Cerebellum_9_R;10.190358467243513,-50.75154511742892,-47.62422744128554
Cerebellum_10_L;-21.79166666666667,-35.0,-43.06944444444444
Cerebellum_10_R;26.80503144654088,-35.01886792452831,-42.64150943396226
Vermis_1_2;-2.3636363636363598,-40.90909090909091,-21.81818181818182
Vermis_3;-2.0,-41.282051282051285,-13.333333333333336
Vermis_4_5;-2.225165562913901,-53.45695364238411,-7.615894039735096
Vermis_6;-2.2409638554216826,-68.24096385542168,-16.16867469879518
Vermis_7;-2.473684210526315,-71.63157894736841,-26.842105263157897
Vermis_8;-2.1568627450980387,-65.13725490196079,-34.94117647058823
Vermis_9;-2.631578947368425,-56.89473684210526,-35.31578947368421
Vermis_10;-2.642857142857139,-46.85714285714286,-33.0
Thal_AV_L;-5.78947368421052,-6.631578947368425,8.631578947368425
Thal_AV_R;5.519999999999996,-5.599999999999994,8.719999999999999
Thal_LP_L;-10.25,-17.08333333333333,16.16666666666667
Thal_LP_R;8.285714285714292,-14.642857142857139,15.142857142857139
Thal_VA_L;-10.554216867469876,-5.2530120481927725,4.4819277108433795
Thal_VA_R;10.333333333333329,-3.7692307692307736,4.512820512820511
Thal_VL_L;-13.340909090909093,-12.212121212121218,7.969696969696969
Thal_VL_R;12.826254826254825,-11.111969111969117,7.274131274131278
Thal_VPL_L;-17.700598802395206,-21.317365269461078,6.431137724550894
Thal_VPL_R;16.849999999999994,-20.349999999999994,5.75
Thal_IL_L;-10.217391304347828,-19.217391304347828,0.1739130434782652
Thal_IL_R;9.955555555555549,-18.62222222222222,-0.3111111111111171
Thal_Re_L;-6.0,-10.0,-4.0
Thal_Re_R;6.0,-10.0,-4.0
Thal_MDm_L;-4.717948717948715,-15.914529914529908,5.350427350427353
Thal_MDm_R;4.173228346456696,-15.055118110236222,4.645669291338578
Thal_MDl_L;-7.650000000000006,-14.599999999999994,6.549999999999997
Thal_MDl_R;7.257142857142853,-13.885714285714286,6.057142857142864
Thal_LGN_L;-22.279069767441854,-24.837209302325576,-4.558139534883722
Thal_LGN_R;21.83333333333333,-24.58333333333333,-4.083333333333329
Thal_MGN_L;-15.555555555555557,-24.888888888888886,-4.555555555555557
Thal_MGN_R;15.285714285714292,-24.42857142857143,-4.714285714285708
Thal_PuI_L;-17.454545454545453,-29.696969696969703,0.7272727272727337
Thal_PuI_R;16.96969696969697,-28.848484848484844,0.6666666666666714
Thal_PuM_L;-13.381215469613267,-28.46408839779005,7.149171270718227
Thal_PuM_R;12.134831460674164,-27.044943820224717,7.471910112359552
Thal_PuA_L;-12.470588235294116,-23.117647058823536,7.470588235294116
Thal_PuA_R;11.266666666666666,-21.733333333333334,7.599999999999994
Thal_PuL_L;-18.769230769230774,-25.461538461538467,11.538461538461533
Thal_PuL_R;15.916666666666671,-22.58333333333333,13.416666666666671
ACC_sub_L;-5.248120300751879,31.338345864661648,-5.684210526315795
ACC_sub_R;5.484848484848484,31.787878787878782,-4.424242424242422
ACC_pre_L;-6.477551020408157,43.77142857142857,6.506122448979596
ACC_pre_R;8.833333333333329,43.271604938271594,12.728395061728392
ACC_sup_L;-5.284444444444446,25.25777777777779,23.364444444444445
ACC_sup_R;7.898686679174489,27.519699812382726,21.174484052532833
N_Acc_L;-7.865030674846622,12.50306748466258,-7.570552147239269
N_Acc_R;9.902097902097907,12.48951048951048,-7.3706293706293735
VTA_L;-3.0,-20.0,-17.0
VTA_R;4.857142857142861,-20.0,-16.857142857142854
SN_pc_L;-7.741935483870961,-19.16129032258064,-14.967741935483872
SN_pc_R;9.1875,-18.25,-14.4375
SN_pr_L;-9.692307692307693,-15.0,-13.57692307692308
SN_pr_R;11.034482758620683,-14.620689655172413,-13.793103448275865
Red_N_L;-4.350877192982452,-19.89473684210526,-10.561403508771932
Red_N_R;5.931034482758619,-19.48275862068965,-10.655172413793103
LC_L;-4.0,-34.0,-24.0
LC_R;6.0,-36.0,-30.0
Raphe_D;-2.0,-27.0,-10.0
Raphe_M;-2.0,-30.0,-22.0
